X,Y,Z
0.00824972,-0.54108,-1.71191
0.0117188,-0.539494,-1.71154
-0.214844,-0.555909,-1.71711
-0.0507813,-0.555513,-1.7188
-0.0507813,-0.554707,-1.71511
-0.0465871,-0.556291,-1.71549
-0.0273438,-0.555005,-1.72096
-0.0195313,-0.551193,-1.71429
-0.0195313,-0.55568,-1.71809
-0.0273438,-0.550438,-1.71411
-0.136719,-0.563173,-1.72035
-0.0664063,-0.563676,-1.71821
-0.0684422,-0.563897,-1.71727
-0.0664063,-0.561744,-1.71677
-0.199219,-0.571246,-1.72015
-0.136719,-0.566522,-1.72591
-0.137971,-0.569718,-1.72666
-0.136719,-0.570043,-1.72527
-0.128906,-0.569916,-1.72582
-0.128906,-0.567709,-1.72619
-0.0898438,-0.570839,-1.72188
-0.0922766,-0.571503,-1.71906
-0.0898438,-0.570282,-1.71877
-0.0868319,-0.571503,-1.71906
-0.0664063,-0.564841,-1.71749
-0.214844,-0.577564,-1.72742
-0.217,-0.579109,-1.72084
-0.214844,-0.57724,-1.7204
-0.207031,-0.577828,-1.7263
-0.183594,-0.578267,-1.72443
-0.18809,-0.579109,-1.72084
-0.183594,-0.575932,-1.7201
-0.179785,-0.579109,-1.72084
-0.131568,-0.577323,-1.72845
-0.136719,-0.570442,-1.72683
-0.128906,-0.577897,-1.726
-0.0799682,-0.577323,-1.72845
-0.0820313,-0.574396,-1.71973
-0.0794386,-0.579109,-1.72084
-0.0820313,-0.575111,-1.72793
-0.214844,-0.580452,-1.72116
-0.207031,-0.585326,-1.72854
-0.210265,-0.586714,-1.72263
-0.128906,-0.586659,-1.72286
-0.129209,-0.586714,-1.72263
-0.128906,-0.586584,-1.7226
-0.128906,-0.58087,-1.72928
-0.121094,-0.579109,-1.72887
-0.121094,-0.578246,-1.72452
-0.121094,-0.583022,-1.72176
-0.121094,-0.586334,-1.72425
-0.113281,-0.58055,-1.7292
-0.119131,-0.579109,-1.72084
-0.113281,-0.586286,-1.72445
0.00390625,-0.544894,-1.72886
0.00366942,-0.5469,-1.72131
0.00390625,-0.546666,-1.72125
0.0035921,-0.545115,-1.72891
0.00509227,-0.545115,-1.72891
0.0117188,-0.545381,-1.72095
0.0117188,-0.545831,-1.72586
-0.196456,-0.567932,-1.73427
-0.191406,-0.568647,-1.73122
-0.191406,-0.565614,-1.73372
-0.183594,-0.568263,-1.73286
-0.183594,-0.566981,-1.73404
-0.182783,-0.567932,-1.73427
-0.160156,-0.569175,-1.72897
-0.160156,-0.566069,-1.72581
-0.153694,-0.569718,-1.72666
-0.136719,-0.568527,-1.73173
-0.128906,-0.569475,-1.72769
-0.0913259,-0.567932,-1.73427
-0.0898438,-0.568682,-1.73107
-0.0898438,-0.566339,-1.73389
-0.0879733,-0.567932,-1.73427
-0.211191,-0.575538,-1.73605
-0.207031,-0.576894,-1.73028
-0.207031,-0.57164,-1.73514
-0.199219,-0.577239,-1.7288
-0.199219,-0.569643,-1.73467
-0.191406,-0.57446,-1.7358
-0.192035,-0.575538,-1.73605
-0.183594,-0.569204,-1.73457
-0.152344,-0.576078,-1.73375
-0.154479,-0.577323,-1.72845
-0.152344,-0.570508,-1.72685
-0.160156,-0.576138,-1.7335
-0.154247,-0.575538,-1.73605
-0.160156,-0.571624,-1.73513
-0.160156,-0.571031,-1.72697
-0.128906,-0.576265,-1.73295
-0.207031,-0.582051,-1.73758
-0.203881,-0.583144,-1.73784
-0.199219,-0.584781,-1.73086
-0.198909,-0.584929,-1.73023
-0.191406,-0.578768,-1.72879
-0.191406,-0.577041,-1.73641
-0.183594,-0.578452,-1.73674
-0.183594,-0.582834,-1.72974
-0.121094,-0.576095,-1.73368
-0.113281,-0.576222,-1.73314
-0.214844,-0.592476,-1.73227
-0.215003,-0.592535,-1.73202
-0.214844,-0.59229,-1.73196
0.0429688,-0.584107,-1.73806
0.0507813,-0.583304,-1.73716
0.0471939,-0.583144,-1.73784
0.0429688,-0.591895,-1.73474
0.0507813,-0.592202,-1.73343
0.00390625,-0.545043,-1.72922
-0.191406,-0.567502,-1.7361
-0.183594,-0.567719,-1.73518
-0.122578,-0.566147,-1.74187
-0.121094,-0.566352,-1.741
-0.121094,-0.564457,-1.74148
-0.118837,-0.566147,-1.74187
-0.0898438,-0.565663,-1.74176
-0.0907989,-0.566147,-1.74187
-0.0888596,-0.566147,-1.74187
-0.207031,-0.574198,-1.74176
-0.199219,-0.574188,-1.74181
-0.160156,-0.574407,-1.74087
-0.163707,-0.575538,-1.73605
-0.150483,-0.573753,-1.74366
-0.144531,-0.574639,-1.73988
-0.144531,-0.567665,-1.74223
-0.136719,-0.574318,-1.74125
-0.136719,-0.569719,-1.74271
-0.135485,-0.573753,-1.74366
-0.121094,-0.569709,-1.74271
-0.117696,-0.573753,-1.74366
-0.113281,-0.57428,-1.74141
-0.113281,-0.570903,-1.74299
-0.0898438,-0.569375,-1.73461
-0.0898438,-0.568365,-1.74239
-0.0742131,-0.573753,-1.74366
-0.0742188,-0.573746,-1.74366
-0.0742188,-0.573755,-1.74365
-0.0600477,-0.573753,-1.74366
-0.0585938,-0.573952,-1.74281
-0.0585938,-0.572904,-1.74346
-0.0570873,-0.573753,-1.74366
-0.0454825,-0.573753,-1.74366
-0.0429688,-0.574317,-1.74125
-0.0429688,-0.572116,-1.74327
-0.207031,-0.579822,-1.74508
-0.207696,-0.581359,-1.74544
-0.207031,-0.581955,-1.7429
-0.199219,-0.580946,-1.74535
-0.191406,-0.582353,-1.74121
-0.198909,-0.581359,-1.74544
-0.183594,-0.577548,-1.74455
-0.185093,-0.581359,-1.74544
-0.181543,-0.581359,-1.74544
-0.175781,-0.577517,-1.73652
-0.175781,-0.581763,-1.74372
-0.167969,-0.578551,-1.73676
-0.167969,-0.582006,-1.74269
-0.165144,-0.581359,-1.74544
-0.160156,-0.575574,-1.74409
-0.152344,-0.576985,-1.73639
-0.152344,-0.582286,-1.74149
-0.155834,-0.581359,-1.74544
-0.144531,-0.578689,-1.74482
-0.150021,-0.583144,-1.73784
-0.136719,-0.577603,-1.74456
-0.124906,-0.581359,-1.74544
-0.121094,-0.581857,-1.74332
-0.121094,-0.57585,-1.74415
-0.113281,-0.582236,-1.74171
-0.207031,-0.589692,-1.74413
-0.210644,-0.59075,-1.73962
-0.207031,-0.585008,-1.73828
-0.207031,-0.582815,-1.74579
-0.203721,-0.588964,-1.74723
-0.0820313,-0.584064,-1.74608
-0.0898438,-0.581821,-1.74347
-0.0898438,-0.583329,-1.74591
-0.0820313,-0.582557,-1.74034
-0.207031,-0.593158,-1.74019
0.0351563,-0.594106,-1.74041
0.0429688,-0.589242,-1.74605
0.0429688,-0.595351,-1.7407
0.0351563,-0.589646,-1.74432
-0.0742188,-0.613061,-1.74714
-0.0756015,-0.613567,-1.74498
-0.0742188,-0.612798,-1.7448
-0.0724704,-0.613567,-1.74498
-0.0602254,-0.611782,-1.75259
-0.0585938,-0.612005,-1.75163
-0.0585938,-0.611538,-1.75253
0.00390625,-0.604523,-1.74932
0.0108063,-0.605961,-1.74319
0.00390625,-0.609002,-1.74391
-0.0633748,-0.54915,-1.74591
-0.0585938,-0.549248,-1.74549
-0.0585938,-0.548689,-1.7458
-0.057569,-0.54915,-1.74591
-0.00610768,-0.54915,-1.74591
-0.00390625,-0.549833,-1.743
-0.00390625,-0.547478,-1.74552
-0.00256866,-0.54915,-1.74591
-0.0585938,-0.549565,-1.74601
-0.00390625,-0.550877,-1.74631
-0.167763,-0.564362,-1.74948
-0.160156,-0.565098,-1.74634
-0.160156,-0.563128,-1.74919
-0.156903,-0.564362,-1.74948
-0.121094,-0.565666,-1.74392
-0.0898438,-0.565976,-1.7426
-0.160156,-0.567828,-1.75029
-0.155388,-0.571967,-1.75126
-0.152344,-0.572412,-1.74937
-0.152344,-0.569289,-1.75064
-0.144531,-0.569064,-1.75058
-0.142392,-0.571967,-1.75126
-0.136719,-0.573424,-1.74506
-0.105469,-0.569159,-1.75061
-0.113281,-0.570359,-1.75089
-0.105469,-0.572728,-1.74342
-0.103777,-0.571967,-1.75126
-0.104766,-0.573753,-1.74366
-0.0742188,-0.573751,-1.74366
